Nombre del artista,Título de la canción,Número de canción,Título del álbum,Fecha de lanzamiento,Nombre del compositor,Nombre del productor musical,Código ISRC,Sello discográfico,Compañía editorial,Entidad de gestión de derechos,Género/s musical/es,Número de reproducciones,Top 5,Contacto (campo comentarios)
Shawn Newton,Support itself me.,5,Final have player.,2019-06-01,Susan Wolf,James Sanders,978-1-4230-9078-6,Warner Music Group,Sony/ATV Music Publishing,SESAC,Vallenato,824792,False,xzuniga@example.com
Nicole Martinez,Little sort civil say night.,8,Authority word book.,2010-03-28,Victoria Murray,Mario Howard,978-0-18-133968-7,Warner Music Group,Kobalt Music Group,BMI,Rock,18345,False,crivera@example.net
Leah Perkins,But training station seem.,12,There finish be.,2001-05-29,Karla Torres,Jessica Snyder,978-0-04-071503-4,EMI,Kobalt Music Group,ASCAP,Electronic,581025,False,slopez@example.org
Angelica Scott,Certainly happen middle.,5,Choice.,2004-12-29,Rachel Reilly,Bill Torres,978-0-681-91796-5,Sony Music,Sony/ATV Music Publishing,BMI,Vallenato,445655,False,waltongerald@example.org
Mary Jones,Same control increase.,11,Compare time might.,2008-01-23,Brandy Houston,Martha Richardson,978-1-942285-50-2,Universal Music Group,Kobalt Music Group,ASCAP,Hip Hop,817971,False,sabrinavelasquez@example.com
Matthew Garcia,Only market support garden.,12,Officer sometimes care sound.,2012-08-20,Margaret Calhoun,Jonathan Miranda,978-0-9580851-5-1,Warner Music Group,Universal Music Publishing Group,SESAC,Classical,990130,False,ryoung@example.net
Kevin Williamson,Protect team.,6,Woman.,2017-06-14,David Thompson,Victoria Coleman,978-1-319-81626-1,EMI,Universal Music Publishing Group,BMI,Electronic,391647,False,tcarter@example.org
Joseph Moyer,Cut blood standard.,3,Research.,2012-10-11,Kurt White,Jeffrey Griffin,978-0-7608-9996-0,Sony Music,Universal Music Publishing Group,ASCAP,Pop,700368,False,williambrown@example.net
Jade West,Through risk keep he.,2,Leader rather.,2009-11-04,Donald Gonzalez,Paul Williams,978-1-81088-965-8,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Reggeton,909200,False,patricia76@example.com
Monique Alexander,Whatever mind record spring.,11,Each majority environment.,2018-07-25,John Bowers,Lindsay Newton,978-0-00-498096-6,EMI,Kobalt Music Group,SESAC,Salsa,777091,False,dmorales@example.net
Lauren Lane,Action modern.,3,Than simply.,2015-06-13,Melissa Willis,Yvette Love,978-1-338-93351-2,Warner Music Group,Universal Music Publishing Group,SESAC,Reggeton,952032,False,gordonsusan@example.org
Jesse Bradford,Surface animal.,7,Up college.,2003-07-29,Trevor Allen,Nancy Sims,978-1-71599-803-5,EMI,Universal Music Publishing Group,SESAC,Rock,904269,False,lancemurray@example.com
Matthew Wagner,Crime cause and soldier range.,1,Discussion low job.,2015-06-21,Roger Camacho,Thomas Lewis,978-0-88626-973-9,Sony Music,Sony/ATV Music Publishing,SESAC,Salsa,810172,False,sarah94@example.net
Teresa Joseph,Window receive no hear.,4,Point agency find note.,2018-08-25,Patricia Wheeler,Angelica Livingston,978-0-380-22260-5,EMI,Universal Music Publishing Group,SESAC,Electronic,557732,False,wilsonmichael@example.net
Valerie Lucero,Cut peace.,5,High produce.,2009-01-15,Joseph Sweeney,Samuel Jones,978-1-200-27562-7,EMI,Kobalt Music Group,ASCAP,Reggeton,822405,False,jeffrey45@example.org
Christopher Wiley,Successful evidence issue artist.,1,Hard fine.,2018-03-28,Justin Rivera,Heather Hernandez,978-0-10-539882-0,Sony Music,Sony/ATV Music Publishing,BMI,Merengue,973090,False,bakerchristopher@example.org
Brian Lucas,Value address boy visit.,5,Own name.,2006-03-10,Latoya Kelly,Laura Scott,978-0-7670-3631-3,EMI,Sony/ATV Music Publishing,SESAC,Merengue,730150,False,lmccormick@example.net
Virginia Charles,Meet boy.,11,Never pattern.,2020-07-08,Jamie Dominguez,Aaron Stokes,978-0-05-097542-8,Warner Music Group,Kobalt Music Group,SESAC,Reggae,749640,False,grayvictoria@example.org
Amanda Aguilar,Group network environment.,10,Picture stage blood.,2004-04-28,Sandra Gonzalez,Michelle Pope,978-0-271-14363-7,Warner Music Group,Universal Music Publishing Group,SESAC,Country,121305,False,feliciawalker@example.com
Teresa Bauer,Similar certain investment reduce.,6,Author woman wonder.,2017-03-06,Doris Christensen,Gloria Kennedy,978-0-00-477905-8,EMI,Universal Music Publishing Group,SESAC,Hip Hop,504540,False,jonesdiana@example.com
Joshua Roberts,Improve amount some might with.,6,Commercial just modern.,2022-01-21,Jonathan Flores,Eileen Hunter,978-1-4010-2507-6,EMI,Kobalt Music Group,ASCAP,Reggae,3608,False,pgilbert@example.org
Kenneth Glover,Other color course.,11,Low near.,2002-09-19,Victoria Brooks,Chad Thomas,978-0-89709-212-8,EMI,Warner/Chappell Music,BMI,Country,988163,False,heathergibson@example.org
Alexis Johnson,Voice book free case.,10,Affect him.,2014-07-22,Michael Sullivan,Marissa Horton,978-0-612-69112-4,EMI,Universal Music Publishing Group,ASCAP,Salsa,290793,False,ryankatie@example.net
Jerry Gilmore,War real.,10,Inside spend ahead.,2015-11-19,Ann Lewis,Stephanie Castillo,978-1-09-343067-7,EMI,Sony/ATV Music Publishing,SESAC,Rock,650006,False,tannerkevin@example.net
Scott Fuentes,Now brother likely military.,9,Church spend chair.,2021-11-09,Taylor Patel,Steve Andrews,978-0-00-435454-5,Sony Music,Warner/Chappell Music,BMI,Salsa,935707,False,williamskevin@example.com
Michael Lewis,Adult career good.,11,Level throw over.,2017-06-20,Michael Norris,Donald Herring,978-0-08-277669-7,Universal Music Group,Kobalt Music Group,BMI,Classical,63928,False,mary94@example.org
Becky Allen,Can write recently.,3,Even think.,2005-02-19,Charles Pruitt,Jacob Forbes,978-0-401-40389-1,Warner Music Group,Warner/Chappell Music,BMI,Jazz,976351,False,jennifer88@example.com
Antonio Ross,Doctor onto officer painting.,9,Movie talk choice.,2003-05-16,Lisa Willis,Dustin Wilson,978-1-216-75164-1,EMI,Sony/ATV Music Publishing,BMI,Reggeton,684808,False,kevin57@example.com
Sharon Downs,Thought want.,12,Anything.,2004-09-05,Darren Allison,Joseph Allen,978-1-68930-074-2,Sony Music,Sony/ATV Music Publishing,ASCAP,Rock,85984,False,townsendnatalie@example.com
Timothy Hammond,Pay learn worker and.,7,Attention system.,2021-07-08,Andrew Ballard,Amy Flores,978-0-18-716419-1,Universal Music Group,Kobalt Music Group,ASCAP,Electronic,711918,False,zgonzalez@example.com
Douglas Adams,Real who others.,10,Who office able.,2009-01-30,John Hopkins,Alexander Baker,978-0-612-18903-4,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Hip Hop,87790,False,ericcarroll@example.net
Erik Moore,Will central my.,6,Seem north.,2023-06-26,James Sullivan,Christopher Garcia,978-0-15-642013-6,EMI,Kobalt Music Group,BMI,Classical,695297,False,toni65@example.net
Jasmine Flores,This inside.,9,Good them.,2003-05-13,Karen Moore,Troy Bishop,978-1-135-57221-1,Warner Music Group,Warner/Chappell Music,SESAC,Reggeton,632431,False,kgibbs@example.net
Jenna Ford,Window enjoy.,3,Husband land.,2018-02-07,Ashley Orozco MD,Renee Henderson,978-1-222-51297-7,Universal Music Group,Universal Music Publishing Group,ASCAP,Pop,19177,False,scampos@example.com
Joshua Gonzalez,Heavy reduce board.,3,Plan before cause.,2016-12-08,Michael Jackson,Stephanie Li,978-1-65257-927-4,Sony Music,Warner/Chappell Music,ASCAP,Electronic,975597,False,robert84@example.com
Audrey Ingram,Science either avoid start.,12,Similar thank.,2003-02-25,Kelly Murphy,Mr. Robert Melendez,978-0-482-01406-1,Warner Music Group,Universal Music Publishing Group,SESAC,Rock,398724,False,richardsonwayne@example.net
Alec Cruz,Pick he upon.,7,Commercial short seven.,2020-04-10,Donna Hall,Andre Brooks,978-0-603-48144-4,EMI,Sony/ATV Music Publishing,ASCAP,Hip Hop,870596,False,william92@example.org
Mr. Marc Freeman Jr.,Herself seem successful north financial.,3,Test allow than section.,2012-12-24,Elizabeth Simmons,Richard Robinson,978-0-8399-0541-7,EMI,Kobalt Music Group,ASCAP,Merengue,142143,False,daniellelarson@example.org
Brenda Lynn,Radio leader impact.,11,Catch tough.,2007-05-24,Chase Smith,Ashley Smith,978-1-145-76954-0,Sony Music,Kobalt Music Group,BMI,Rock,543322,False,myersjason@example.org
Robert Gonzalez,Customer price participant month.,12,Billion rich leave consumer.,2010-12-12,Donna Day,Bailey Chambers,978-0-05-696977-3,Warner Music Group,Universal Music Publishing Group,BMI,Country,930788,False,brianwilliams@example.net
David Patterson,Media structure sport notice media.,9,Rather billion full.,2011-08-23,Miss Kimberly Paul,Traci Hansen,978-0-626-09575-8,Universal Music Group,Sony/ATV Music Publishing,SESAC,Reggeton,758412,False,nicholassullivan@example.org
Alyssa Cortez,Guess owner exactly.,4,Onto.,2010-05-09,Travis Grant,Katherine Leach,978-0-625-16445-5,Sony Music,Kobalt Music Group,ASCAP,Pop,630891,False,delgadoaustin@example.net
James Campbell,Lay impact threat form.,4,But standard act.,2017-09-19,David Parker,Kevin Valdez,978-0-491-19432-7,Sony Music,Kobalt Music Group,BMI,Merengue,760367,False,morrisjeffrey@example.net
Stephen Ford,Woman girl drop.,7,Mind.,2022-02-21,Rachel Padilla,Alexander Perez,978-0-9687804-9-7,EMI,Warner/Chappell Music,BMI,Reggae,810465,False,ugomez@example.net
Sandra Johnson,Here figure turn.,1,Fly behavior.,2013-04-11,Kristie Reynolds,Paul Munoz,978-1-04-161419-7,Sony Music,Universal Music Publishing Group,SESAC,Reggae,370982,False,shawn62@example.org
Sarah Jenkins,Spring sit animal.,6,Walk heavy.,2001-08-10,Richard Thomas,Jacob Cruz,978-1-56956-403-5,EMI,Sony/ATV Music Publishing,BMI,Classical,456707,False,renee54@example.net
Kristi Norton,Else center sign a.,11,Really.,2000-01-04,Juan Baldwin,Kathy Burns,978-1-4126-6682-4,EMI,Universal Music Publishing Group,SESAC,Jazz,119668,False,gdavis@example.net
Jamie Cohen,Daughter until.,5,Low force book relate.,2022-12-11,Lance Franco,Michael Carlson,978-0-7848-5281-1,Warner Music Group,Kobalt Music Group,ASCAP,Electronic,380595,False,acostalawrence@example.com
Mark Nguyen,Page look.,8,Maintain big take.,2009-03-15,Andrew Robles,Marissa Walker,978-0-18-766098-3,EMI,Universal Music Publishing Group,ASCAP,Reggeton,599920,False,brentjames@example.com
Hannah Lynch,Discussion million share commercial main.,11,Ask though serve.,2000-10-05,Alan Yu Jr.,Wendy Smith,978-1-140-67659-1,EMI,Sony/ATV Music Publishing,BMI,Classical,886240,False,ajohnson@example.net
Kyle Garrett,Care deep.,4,Blood.,2012-05-16,Brittany Jones,Debra Thomas,978-0-18-503194-5,Universal Music Group,Universal Music Publishing Group,SESAC,Merengue,433627,False,bowerstheodore@example.net
Debra Gaines,Leader interview choose.,1,Support market.,2015-04-29,Angela Adams,Zachary Lamb,978-0-8056-0963-9,EMI,Sony/ATV Music Publishing,ASCAP,Rock,687679,False,hfrancis@example.net
Patricia Davis,Strategy turn bar step.,3,May popular might.,2020-05-09,James Hill,Dana Mcintyre,978-0-907947-49-3,Warner Music Group,Sony/ATV Music Publishing,BMI,Reggae,34926,False,romerodanny@example.net
Victoria Hale,Direction state example.,9,To treatment yeah.,2005-11-06,Megan Clark,Travis Conner DVM,978-1-74691-567-4,EMI,Universal Music Publishing Group,SESAC,Pop,185440,False,williamsnancy@example.net
Frances Mason,Perhaps try fine according.,1,Put charge beat.,2008-02-11,Timothy Scott,Nichole Dalton,978-1-907690-96-9,Universal Music Group,Sony/ATV Music Publishing,BMI,Classical,589331,False,barry88@example.com
Benjamin Edwards,Kid guess fact.,9,New certainly.,2024-04-05,Natasha Gutierrez,Sheri Goodwin,978-0-10-619873-3,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Salsa,161474,False,fmccoy@example.com
Robert Fisher,Discuss establish support yet.,12,Personal serious sing.,2021-09-08,Jody Ryan,Nathaniel Day,978-1-4908-5099-3,Warner Music Group,Universal Music Publishing Group,ASCAP,Jazz,655406,False,robert44@example.com
Willie Miller,Give college.,11,Month crime.,2001-07-18,William Rivas,Nathan Moyer,978-0-7807-1279-9,Warner Music Group,Warner/Chappell Music,BMI,Merengue,450082,False,shelly61@example.org
Caitlin Frederick MD,Anyone fund story.,4,Member reflect.,2009-05-28,Phillip Rangel,Adam Smith,978-0-596-23662-5,EMI,Universal Music Publishing Group,SESAC,Salsa,908570,False,shirleycamacho@example.com
Kenneth Vang,Person indicate.,5,He decision.,2003-02-06,Wendy Davis,Mark Hickman,978-1-55842-268-1,Warner Music Group,Kobalt Music Group,SESAC,Vallenato,482696,False,pevans@example.org
Dylan Clark,Country well choose while.,3,Boy program.,2015-07-18,Marcus Ortiz,Aaron Alvarez,978-1-4104-4448-6,Universal Music Group,Sony/ATV Music Publishing,ASCAP,Pop,540451,False,wilsonmelinda@example.com
Samantha Gomez,Fact strategy.,6,Budget recognize.,2022-05-02,Rebecca Hamilton,Natalie Johns,978-1-04-450375-7,EMI,Kobalt Music Group,SESAC,Rock,598439,False,karen57@example.net
Joseph Smith,Mean read move near team.,5,Call reason enter.,2013-05-12,Deborah Armstrong,Elizabeth Martin,978-1-9754-5809-6,Sony Music,Kobalt Music Group,ASCAP,Reggae,600930,False,sharicollins@example.net
Kimberly Gonzalez,By himself.,6,Woman TV.,2022-08-16,Mark Hernandez,Shelby Good,978-1-03-946249-6,Universal Music Group,Universal Music Publishing Group,BMI,Merengue,844930,False,johnfowler@example.org
Deborah Prince,Between game admit include.,2,Operation scene huge.,2020-02-05,Jonathan Harris,Eugene Chang,978-1-392-46067-2,EMI,Sony/ATV Music Publishing,BMI,Pop,657261,False,michaelandrews@example.com
Timothy Gay,Set couple hospital woman.,12,Half election.,2010-09-17,Melissa Ortiz,Shirley Shepard,978-0-443-34396-4,Sony Music,Universal Music Publishing Group,ASCAP,Pop,288611,False,qrobertson@example.org
Jason Freeman,Program instead back society right.,6,Guy light.,2002-05-20,Christopher Bowman,James Bridges,978-1-153-86217-2,Universal Music Group,Sony/ATV Music Publishing,SESAC,Reggae,807396,False,fglover@example.org
Debra Lang,Position few camera stuff.,7,Sometimes easy source.,2000-03-16,Crystal Fowler,Gabriel Velez,978-0-9533690-1-0,Universal Music Group,Kobalt Music Group,SESAC,Classical,414702,False,uhughes@example.com
Erin Sanchez,Necessary factor.,2,Anything nation.,2019-04-05,Lynn James,Selena Townsend,978-0-304-13915-6,EMI,Warner/Chappell Music,SESAC,Electronic,722026,False,torresjames@example.com
Gregory Peterson,Catch nothing tonight indeed.,7,Score friend image.,2008-02-22,Derek Lopez,Dylan George,978-1-76367-530-8,Universal Music Group,Universal Music Publishing Group,BMI,Vallenato,67558,False,amberleonard@example.com
Daniel Anderson,Those art.,12,Million my level year.,2017-10-14,Tammy Shannon,Lisa Carter,978-0-9757399-5-2,EMI,Sony/ATV Music Publishing,SESAC,Jazz,334113,False,richardfields@example.net
April Stewart,Vote school enter particularly.,4,Practice toward strategy.,2018-05-07,Stephen Vaughan,Andrew Cook,978-0-944251-94-2,Sony Music,Universal Music Publishing Group,BMI,Rock,954401,False,corywhite@example.com
Ariana Powell,Miss design fill.,11,Different whom.,2000-01-20,Kenneth Anderson,Paul Carter,978-1-59531-032-3,EMI,Kobalt Music Group,SESAC,Electronic,366485,False,pagemegan@example.net
Kevin Phillips,While avoid play community enter.,3,Game trouble reflect.,2017-07-10,David Dean,Sharon Smith,978-0-86010-140-6,Sony Music,Universal Music Publishing Group,SESAC,Electronic,107892,False,pamelascott@example.com
Joseph White,Away job.,1,Nothing serious.,2022-12-05,Christopher Williams,Rachael Bray,978-0-419-15842-4,Warner Music Group,Kobalt Music Group,ASCAP,Jazz,265913,False,paul27@example.org
Donna Ali,Increase general their.,2,Apply economic.,2004-12-27,David Simmons,Mark Price,978-1-01-751235-9,EMI,Sony/ATV Music Publishing,ASCAP,Classical,739545,False,danielpayne@example.com
Jody Rivera,West where high pattern statement.,1,Congress change.,2010-03-07,Dr. Ronald Reed,Dawn Holmes,978-1-889863-10-8,Warner Music Group,Kobalt Music Group,SESAC,Rock,153994,False,rebeccajohnson@example.org
Christopher Hernandez,Wear spend any.,8,Consumer manage different.,2012-05-17,Ashley Schwartz,Mark Cook,978-0-257-98841-2,EMI,Sony/ATV Music Publishing,ASCAP,Rock,161513,False,gary32@example.org
Eduardo Grant,Same simple effort five.,9,Garden sea.,2023-05-05,Tracy Andrade,Eugene Burns,978-0-687-35662-1,EMI,Universal Music Publishing Group,ASCAP,Vallenato,265861,False,carterlinda@example.net
Alexandra Johnson,Baby once then.,2,Image treat same whom.,2000-10-24,Jeffrey Manning,Thomas Tanner,978-1-78360-530-9,EMI,Warner/Chappell Music,BMI,Merengue,614422,False,ineal@example.net
Charles Stephens,Country skin.,11,Brother could population.,2018-06-05,Joseph Mathis,Tamara Moore,978-1-998559-74-9,Sony Music,Sony/ATV Music Publishing,ASCAP,Reggeton,29995,False,williamsrobert@example.org
Alan Chase,Rate able why may.,7,Reduce suggest.,2011-08-04,Lori Bell,Sabrina Ortega,978-1-83541-491-0,EMI,Universal Music Publishing Group,BMI,Vallenato,26263,False,carpenterrichard@example.org
Caleb Hall,Her single.,12,Old heart including.,2023-10-21,Lisa Decker,William Farrell,978-1-64783-644-3,EMI,Universal Music Publishing Group,BMI,Reggeton,340019,False,donaldleonard@example.com
Elizabeth Cummings,Buy thus.,3,Tell that.,2005-09-25,Alexander Brooks,Nicholas Mccarthy,978-1-917284-54-7,Universal Music Group,Sony/ATV Music Publishing,BMI,Classical,2339,False,kaylalong@example.com
Shawn Cummings,Information nation upon white go.,3,Television off air.,2014-04-05,Lisa Wilson,Jamie Cardenas,978-0-05-443981-0,Universal Music Group,Sony/ATV Music Publishing,SESAC,Reggeton,540261,False,dalton93@example.org
Jacob Day,Adult important ready.,11,School around address.,2023-03-14,Martha Berger,Dustin Price,978-0-569-22686-8,Warner Music Group,Universal Music Publishing Group,ASCAP,Reggae,376808,False,jessicamorris@example.com
James Torres,Year national boy model very.,6,Actually human.,2007-06-30,Matthew Crawford,Christopher Gonzalez,978-1-01-297758-0,Warner Music Group,Sony/ATV Music Publishing,ASCAP,Jazz,804741,False,barbarabrown@example.net
Crystal Horton,Short second.,2,Writer almost.,2017-11-19,Tammy Hernandez,Eric Long,978-0-7996-5698-5,Warner Music Group,Kobalt Music Group,ASCAP,Pop,766749,False,brooksjames@example.org
Dr. Carrie Haley,Because oil Democrat drop.,4,Low nearly create.,2000-07-17,Charles Cherry,Monique Blevins,978-0-89079-721-1,Sony Music,Sony/ATV Music Publishing,SESAC,Electronic,309599,False,alice48@example.net
Sandra Tucker,Say election everyone debate.,5,Goal body.,2004-06-23,Ashley Taylor,Joseph Riddle,978-1-948347-45-7,EMI,Universal Music Publishing Group,ASCAP,Rock,989313,False,matthew85@example.com
Stephanie Roberson,Out environmental dark thing.,4,Nearly member movement.,2008-11-13,Philip Glenn,Stephen Williams,978-1-58727-681-1,EMI,Universal Music Publishing Group,BMI,Reggae,269220,False,sharoncrawford@example.net
